refYear,partner,value_total,qty_total,value_total_all,qty_total_all,value_share_all,qty_share_all
2019,Canada,41692377531.0,1690497.0,212590862210.0,8895274.0,0.19611556723362705,0.1900443988571909
2019,China,1799986939.0,252655.0,212590862210.0,8895274.0,0.00846690643373914,0.02840328471051032
2019,EU,24472632662.0,620556.0,212590862210.0,8895274.0,0.1151161080377275,0.06976243789679779
2019,Japan,40911524446.0,1757905.0,212590862210.0,8895274.0,0.19244253502103523,0.19762235542154183
2019,Korea,16338708493.0,916617.0,212590862210.0,8895274.0,0.07685517770213666,0.10304539241849099
2019,Mexico,64403162482.0,3030184.0,212590862210.0,8895274.0,0.30294417084767133,0.34065100186908237
2020,Canada,30775485467.0,1242061.0,171668669570.0,7370211.0,0.17927258097873777,0.1685244832203583
2020,China,1696228878.0,393738.0,171668669570.0,7370211.0,0.009880829636815832,0.05342289386287584
2020,EU,18193585980.0,465608.0,171668669570.0,7370211.0,0.10598081773204017,0.06317431074904097
2020,Japan,33479762367.0,1419268.0,171668669570.0,7370211.0,0.19502546650394012,0.19256816392366513
2020,Korea,16554249415.0,874245.0,171668669570.0,7370211.0,0.09643139576059802,0.11861872068520155
2020,Mexico,52830528353.0,2416029.0,171668669570.0,7370211.0,0.3077470599925498,0.3278100179221463
2021,Canada,26621682591.0,996274.0,179238330206.0,7128719.0,0.14852672729322738,0.13975498262731353
2021,China,2155538343.0,493192.0,179238330206.0,7128719.0,0.01202610145119419,0.06918381829891176
2021,EU,20542752091.0,424268.0,179238330206.0,7128719.0,0.11461137842218266,0.05951532105557815
2021,Japan,34091274326.0,1369651.0,179238330206.0,7128719.0,0.19020080295781955,0.1921314334314482
2021,Korea,17764877614.0,826530.0,179238330206.0,7128719.0,0.09911316175274948,0.11594369198729813
2021,Mexico,57422980614.0,2411793.0,179238330206.0,7128719.0,0.3203722136219598,0.33832067163820034
2022,Canada,30089693193.0,1091151.0,203498655923.0,7454284.0,0.14786187680957147,0.14637904861150983
2022,China,2565763814.0,480933.0,203498655923.0,7454284.0,0.012608259265215176,0.0645176652781139
2022,EU,26331512797.0,483288.0,203498655923.0,7454284.0,0.12939403789950996,0.06483359099277677
2022,Japan,34378129973.0,1328896.0,203498655923.0,7454284.0,0.16893541540641932,0.1782727891773375
2022,Korea,22220649460.0,939733.0,203498655923.0,7454284.0,0.10919310183752697,0.1260661654425831
2022,Mexico,64982432567.0,2572688.0,203498655923.0,7454284.0,0.3193261020435836,0.34512878768772426
2023,Canada,41462633503.0,1400218.0,253964171321.0,8600089.0,0.16326174391974757,0.16281436157230467
2023,China,2550377723.0,402741.0,253964171321.0,8600089.0,0.01004227371811605,0.046829864202568135
2023,EU,33472310769.0,596455.0,253964171321.0,8600089.0,0.13179934238319158,0.06935451481955594
2023,Japan,41875221152.0,1488999.0,253964171321.0,8600089.0,0.16488633390365717,0.17313762683153627
2023,Korea,31269491485.0,1266538.0,253964171321.0,8600089.0,0.12312560201839133,0.14727033638837925
2023,Mexico,77854092321.0,2969125.0,253964171321.0,8600089.0,0.3065554165221035,0.3452435201542682
2024,Canada,35584119670.0,1152041.0,267249374856.0,9013635.0,0.13314949638020118,0.12781092200871236
2024,China,3833954217.0,602632.0,267249374856.0,9013635.0,0.01434598011338968,0.06685782151152116
2024,EU,31807144404.0,544768.0,267249374856.0,9013635.0,0.1190167214465456,0.06043821388374391
2024,Japan,41738851817.0,1409726.0,267249374856.0,9013635.0,0.15617941796679538,0.15639927731708683
2024,Korea,38040132255.0,1555700.0,267249374856.0,9013635.0,0.1423394620679539,0.1725940755311259
2024,Mexico,87235237646.0,3218761.0,267249374856.0,9013635.0,0.32641886512551926,0.35709910596557326
2019,Rest,22972469657.0,626860.0,212590862210.0,8895274.0,0.10805953472406306,0.07047112882638579
2020,Rest,18138829110.0,559262.0,171668669570.0,7370211.0,0.1056618493953183,0.07588140963671189
2021,Rest,20639224627.0,607011.0,179238330206.0,7128719.0,0.11514961450086697,0.08515008096124985
2022,Rest,22930474119.0,557595.0,203498655923.0,7454284.0,0.11268120673817351,0.07480195280995465
2023,Rest,25480044368.0,476013.0,253964171321.0,8600089.0,0.10032928753479285,0.05534977603138758
2024,Rest,29009934847.0,530007.0,267249374856.0,9013635.0,0.10855005689959503,0.05880058378223658
