refYear,reporterCode,partnerCode,cmdCode,cifvalue,qty,qtyUnitAbbr,netWgt
2019,842,124,8703,37819393693.0,1585277.0,u,2388903745.854
2019,842,392,8703,39931095073.0,1735445.0,u,2615649513.973
2019,842,484,8703,38058497222.0,2105287.0,u,2864720339.759
2019,842,124,8704,3872983838.0,105220.0,u,478556157.548
2019,842,392,8704,980429373.0,22460.0,u,137855823.996
2019,842,484,8704,26344665260.0,924897.0,u,3035163218.447
2020,842,124,8703,29544150457.0,1226561.0,u,1820378547.783
2020,842,392,8703,32994198594.0,1408280.0,u,2055753605.571
2020,842,484,8703,29890825620.0,1613954.0,u,2199976226.628
2020,842,124,8704,1231335010.0,15500.0,u,198516069.005
2020,842,392,8704,485563773.0,10988.0,u,76579816.249
2020,842,484,8704,22939702733.0,802075.0,u,2632680157.666
2021,842,124,8703,25452099799.0,981646.0,u,1456422856.245
2021,842,392,8703,33390640672.0,1353572.0,u,1971430777.856
2021,842,484,8703,29582370987.0,1488147.0,u,2054294801.286
2021,842,124,8704,1169582792.0,14628.0,u,193795905.505
2021,842,392,8704,700633654.0,16079.0,u,112001934.791
2021,842,484,8704,27840609627.0,923646.0,u,3020955972.575
2022,842,124,8703,26369429989.0,994592.0,u,1520153801.946
2022,842,392,8703,33524672675.0,1309665.0,u,2018957924.526
2022,842,484,8703,36512896093.0,1674241.0,u,2613687781.391
2022,842,124,8704,3720263204.0,96559.0,u,381735109.611
2022,842,392,8704,853457298.0,19231.0,u,110710234.742
2022,842,484,8704,28469536474.0,898447.0,u,2700427400.364
2023,842,124,8703,34871101765.0,1236016.0,u,1959395029.933
2023,842,392,8703,40876679872.0,1465999.0,u,2271923790.372
2023,842,484,8703,44964895428.0,1977160.0,u,2951257935.276
2023,842,124,8704,6591531738.0,164202.0,u,574347613.423
2023,842,392,8704,998541280.0,23000.0,u,105985536.188
2023,842,484,8704,32889196893.0,991965.0,u,2696532998.624
2024,842,124,8703,28400124287.0,983607.0,u,1632485354.255
2024,842,392,8703,40765669517.0,1388330.0,u,2212677557.78
2024,842,484,8703,49986957537.0,2125788.0,u,3144411291.138
2024,842,124,8704,7183995383.0,168434.0,u,623617187.315
2024,842,392,8704,973182300.0,21396.0,u,105626064.058
2024,842,484,8704,37248280109.0,1092973.0,u,3051523647.612
