sigma,scenario,partner,Q_units
3.0,baseline,Japan,793059.6458762386
3.0,baseline,Mexico,1587574.7510248953
3.0,baseline,Canada,647587.5053471656
3.0,baseline,Korea,692283.93391618
3.0,baseline,EU,578851.1697865317
3.0,baseline,China,69773.28285840558
3.0,baseline,Rest,10433306.889346154
3.0,reciprocal_no_response,Japan,847080.60341578
3.0,reciprocal_no_response,Mexico,1913663.0930777835
3.0,reciprocal_no_response,Canada,780602.1780839907
3.0,reciprocal_no_response,Korea,615123.7591790617
3.0,reciprocal_no_response,EU,549423.3776260995
3.0,reciprocal_no_response,China,65650.80896142239
3.0,reciprocal_no_response,Rest,9101074.045902094
3.0,reciprocal_with_response,Japan,923519.2492982532
3.0,reciprocal_with_response,Mexico,1909441.5834830906
3.0,reciprocal_with_response,Canada,778880.182401292
3.0,reciprocal_with_response,Korea,613766.8061915212
3.0,reciprocal_with_response,EU,548211.3586094884
3.0,reciprocal_with_response,China,65505.984346821984
3.0,reciprocal_with_response,Rest,9080997.224884976
3.0,reciprocal_strong_absorb,Japan,960420.4617374402
3.0,reciprocal_strong_absorb,Mexico,1907447.7520054744
3.0,reciprocal_strong_absorb,Canada,778066.8787430935
3.0,reciprocal_strong_absorb,Korea,613125.9132788047
3.0,reciprocal_strong_absorb,EU,547638.9184402592
3.0,reciprocal_strong_absorb,China,65437.58325265253
3.0,reciprocal_strong_absorb,Rest,9071514.88288942
4.0,baseline,Japan,804158.3133238361
4.0,baseline,Mexico,1586824.3194338677
4.0,baseline,Canada,647281.3968495007
4.0,baseline,Korea,691956.697838864
4.0,baseline,EU,578577.552305509
4.0,baseline,China,69740.30168656922
4.0,baseline,Rest,10428375.163716486
4.0,reciprocal_no_response,Japan,904100.482507449
4.0,reciprocal_no_response,Mexico,2096141.2407375788
4.0,reciprocal_no_response,Canada,855036.8264979259
4.0,reciprocal_no_response,Korea,608648.4875953661
4.0,reciprocal_no_response,EU,555731.6989604712
4.0,reciprocal_no_response,China,66211.74274529718
4.0,reciprocal_no_response,Rest,8950091.978885917
4.0,reciprocal_with_response,Japan,1013832.5789501106
4.0,reciprocal_with_response,Mexico,2088637.1181154607
4.0,reciprocal_with_response,Canada,851975.8203654342
4.0,reciprocal_with_response,Korea,606469.5443085697
4.0,reciprocal_with_response,EU,553742.1961860638
4.0,reciprocal_with_response,China,65974.70669690093
4.0,reciprocal_with_response,Rest,8918050.918682761
4.0,reciprocal_strong_absorb,Japan,1067840.8712501633
4.0,reciprocal_strong_absorb,Mexico,2085023.9664340548
4.0,reciprocal_strong_absorb,Canada,850501.9799164775
4.0,reciprocal_strong_absorb,Korea,605420.4073212326
4.0,reciprocal_strong_absorb,EU,552784.2727010016
4.0,reciprocal_strong_absorb,China,65860.57647276354
4.0,reciprocal_strong_absorb,Rest,8902623.50412988
5.0,baseline,Japan,815406.9097247372
5.0,baseline,Mexico,1586063.750461619
5.0,baseline,Canada,646971.1532133723
5.0,baseline,Korea,691625.0412162177
5.0,baseline,EU,578300.2385985445
5.0,baseline,China,69706.87498083468
5.0,baseline,Rest,10423376.816714011
5.0,reciprocal_no_response,Japan,963643.7018683744
5.0,reciprocal_no_response,Mexico,2292891.0900978427
5.0,reciprocal_no_response,Canada,935293.0437515635
5.0,reciprocal_no_response,Korea,601420.7598136863
5.0,reciprocal_no_response,EU,561346.5107479213
5.0,reciprocal_no_response,China,66686.47763323333
5.0,reciprocal_no_response,Rest,8789621.46004329
5.0,reciprocal_with_response,Japan,1111232.9866885822
5.0,reciprocal_with_response,Mexico,2281067.8227040996
5.0,reciprocal_with_response,Canada,930470.215578198
5.0,reciprocal_with_response,Korea,598319.5403575446
5.0,reciprocal_with_response,EU,558451.9337111923
5.0,reciprocal_with_response,China,66342.60955331901
5.0,reciprocal_with_response,Rest,8744297.874784194
5.0,reciprocal_strong_absorb,Japan,1185262.4194038266
5.0,reciprocal_strong_absorb,Mexico,2275266.602458111
5.0,reciprocal_strong_absorb,Canada,928103.840234521
5.0,reciprocal_strong_absorb,Korea,596797.8918574231
5.0,reciprocal_strong_absorb,EU,557031.6766578897
5.0,reciprocal_strong_absorb,China,66173.88677976455
5.0,reciprocal_strong_absorb,Rest,8722059.34361767
