scenario,partner,share_new
baseline,Japan,0.053576288575409865
baseline,Mexico,0.1072509028018528
baseline,Canada,0.04374870823993978
baseline,Korea,0.04676823995833642
baseline,EU,0.0391051259208018
baseline,China,0.004713634789909613
baseline,Rest,0.7048370997137497
reciprocal_no_response,Japan,0.061061337635258464
reciprocal_no_response,Mexico,0.13794534755649537
reciprocal_no_response,Canada,0.05626927704707349
reciprocal_no_response,Korea,0.04434085657875236
reciprocal_no_response,EU,0.03960488084681649
reciprocal_no_response,China,0.0047324023190430985
reciprocal_no_response,Rest,0.6560458980165608
reciprocal_with_response,Japan,0.06634323713750592
reciprocal_with_response,Mexico,0.13716935068705027
reciprocal_with_response,Canada,0.055952740218482115
reciprocal_with_response,Korea,0.04409142180981582
reciprocal_with_response,EU,0.03938208780525131
reciprocal_with_response,China,0.004705780693525586
reciprocal_with_response,Rest,0.6523553816483689
reciprocal_strong_absorb,Japan,0.06887868650557555
reciprocal_strong_absorb,Mexico,0.1367968519730135
reciprocal_strong_absorb,Canada,0.055800794294164305
reciprocal_strong_absorb,Korea,0.0439716866223126
reciprocal_strong_absorb,EU,0.039275141340971494
reciprocal_strong_absorb,China,0.004693001619715749
reciprocal_strong_absorb,Rest,0.6505838376442468
